run_id,batch_id,timestamp,f_ge_Hz,f_ef_Hz,f_gf_Hz,P_pump_dBm,P_ge_dBm,P_ef_dBm,phi_ge_rad,phi_ef_rad,phi_gf_rad,T2star_ns,T1_ns,contrast,fit_ok,temp_mK,fridge_cycle_id,resonator_Q,notes
synth_00001,batch_synth_v1,2025-09-30T15:58:03.542202,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-60.0,0.0,0.0,0.0,102.27142600202367,297.96574295197695,0.6474984969258325,True,15.0,demo_cycle,8000.0,
synth_00002,batch_synth_v1,2025-09-30T15:58:03.542245,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-58.75,0.0,0.0,0.0,107.1969674477255,298.6744633181204,0.6518950223795216,True,15.0,demo_cycle,8000.0,
synth_00003,batch_synth_v1,2025-09-30T15:58:03.542257,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-57.5,0.0,0.0,0.0,105.07791559980132,299.3236882510486,0.656670754897899,True,15.0,demo_cycle,8000.0,
synth_00004,batch_synth_v1,2025-09-30T15:58:03.542268,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-56.25,0.0,0.0,0.0,117.85621152157599,299.89759975379235,0.6617640907160498,True,15.0,demo_cycle,8000.0,
synth_00005,batch_synth_v1,2025-09-30T15:58:03.542279,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-55.0,0.0,0.0,0.0,119.51578331192452,300.3822147983583,0.6671093291982776,True,15.0,demo_cycle,8000.0,
synth_00006,batch_synth_v1,2025-09-30T15:58:03.542289,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-53.75,0.0,0.0,0.0,113.00371406506619,300.76572601426903,0.672637520332494,True,15.0,demo_cycle,8000.0,
synth_00007,batch_synth_v1,2025-09-30T15:58:03.542300,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-52.5,0.0,0.0,0.0,131.78288289566677,301.03878936844256,0.6782773541393973,True,15.0,demo_cycle,8000.0,
synth_00008,batch_synth_v1,2025-09-30T15:58:03.542313,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-51.25,0.0,0.0,0.0,139.6578039382056,301.19475182725415,0.6839560805236536,True,15.0,demo_cycle,8000.0,
synth_00009,batch_synth_v1,2025-09-30T15:58:03.542332,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-50.0,0.0,0.0,0.0,132.42376432436265,301.22981345392435,0.6896004477016165,True,15.0,demo_cycle,8000.0,
synth_00010,batch_synth_v1,2025-09-30T15:58:03.542352,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-48.75,0.0,0.0,0.0,117.43576046771221,301.1431199918214,0.6951376471004886,True,15.0,demo_cycle,8000.0,
synth_00011,batch_synth_v1,2025-09-30T15:58:03.542364,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-47.5,0.0,0.0,0.0,121.44553825554327,300.93678367793933,0.700496252540361,True,15.0,demo_cycle,8000.0,
synth_00012,batch_synth_v1,2025-09-30T15:58:03.542375,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-46.25,0.0,0.0,0.0,125.70385680539356,300.6158317794427,0.7056071415843049,True,15.0,demo_cycle,8000.0,
synth_00013,batch_synth_v1,2025-09-30T15:58:03.542397,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-45.0,0.0,0.0,0.0,124.25827770973324,300.18808410715553,0.7104043871717163,True,15.0,demo_cycle,8000.0,
synth_00014,batch_synth_v1,2025-09-30T15:58:03.542443,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-43.75,0.0,0.0,0.0,118.51187710942375,299.6639624903093,0.714826108033435,True,15.0,demo_cycle,8000.0,
synth_00015,batch_synth_v1,2025-09-30T15:58:03.542460,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-42.5,0.0,0.0,0.0,121.64182291086155,299.0562368545899,0.7188152669188538,True,15.0,demo_cycle,8000.0,
synth_00016,batch_synth_v1,2025-09-30T15:58:03.542472,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-41.25,0.0,0.0,0.0,117.19118596952919,298.3797140901464,0.722320406338417,True,15.0,demo_cycle,8000.0,
synth_00017,batch_synth_v1,2025-09-30T15:58:03.542481,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-40.0,0.0,0.0,0.0,147.75001514624182,297.650877290118,0.7252963123309226,True,15.0,demo_cycle,8000.0,
synth_00018,batch_synth_v1,2025-09-30T15:58:03.542490,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-38.75,0.0,0.0,0.0,110.24376763131527,296.88748414942546,0.7277045976934724,True,15.0,demo_cycle,8000.0,
synth_00019,batch_synth_v1,2025-09-30T15:58:03.542506,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-37.5,0.0,0.0,0.0,105.30920774781715,296.1081343086148,0.7295141971507915,True,15.0,demo_cycle,8000.0,
synth_00020,batch_synth_v1,2025-09-30T15:58:03.542519,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-36.25,0.0,0.0,0.0,112.51217391756923,295.3318161841727,0.7307017680765645,True,15.0,demo_cycle,8000.0,
synth_00021,batch_synth_v1,2025-09-30T15:58:03.542528,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-35.0,0.0,0.0,0.0,114.53543789812458,294.5774443265374,0.7312519915977496,True,15.0,demo_cycle,8000.0,
synth_00022,batch_synth_v1,2025-09-30T15:58:03.542537,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-33.75,0.0,0.0,0.0,111.90193539401781,293.8633985778139,0.7311577701978256,True,15.0,demo_cycle,8000.0,
synth_00023,batch_synth_v1,2025-09-30T15:58:03.542547,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-32.5,0.0,0.0,0.0,103.46246364905632,293.20707625735395,0.7304203192700224,True,15.0,demo_cycle,8000.0,
synth_00024,batch_synth_v1,2025-09-30T15:58:03.542555,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-31.25,0.0,0.0,0.0,105.29734570634798,292.62446828594534,0.729049151439559,True,15.0,demo_cycle,8000.0,
synth_00025,batch_synth_v1,2025-09-30T15:58:03.542564,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-30.0,0.0,0.0,0.0,111.50503200987622,292.129769576104,0.7270619538571207,True,15.0,demo_cycle,8000.0,
synth_00026,batch_synth_v1,2025-09-30T15:58:03.542574,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-28.75,0.0,0.0,0.0,104.55008058445961,291.735033181088,0.7244843600464106,True,15.0,demo_cycle,8000.0,
synth_00027,batch_synth_v1,2025-09-30T15:58:03.542582,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-27.5,0.0,0.0,0.0,120.16957895017086,291.4498766290964,0.7213496192487856,True,15.0,demo_cycle,8000.0,
synth_00028,batch_synth_v1,2025-09-30T15:58:03.542598,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-26.25,0.0,0.0,0.0,122.0018289918525,291.2812475976543,0.7176981675302154,True,15.0,demo_cycle,8000.0,
synth_00029,batch_synth_v1,2025-09-30T15:58:03.542609,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-25.0,0.0,0.0,0.0,104.14858072146808,291.2332546373934,0.7135771061829945,True,15.0,demo_cycle,8000.0,
synth_00030,batch_synth_v1,2025-09-30T15:58:03.542617,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-23.75,0.0,0.0,0.0,107.29495076565121,291.307067069548,0.7090395941504801,True,15.0,demo_cycle,8000.0,
synth_00031,batch_synth_v1,2025-09-30T15:58:03.542626,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-22.5,0.0,0.0,0.0,126.89308623230697,291.5008864961071,0.7041441623121707,True,15.0,demo_cycle,8000.0,
synth_00032,batch_synth_v1,2025-09-30T15:58:03.542635,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-21.25,0.0,0.0,0.0,111.12999829172915,291.80999061676084,0.6989539584743897,True,15.0,demo_cycle,8000.0,
synth_00033,batch_synth_v1,2025-09-30T15:58:03.542644,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-20.0,0.0,0.0,0.0,119.01493495836606,292.22684828506715,0.6935359328056929,True,15.0,demo_cycle,8000.0,
synth_00034,batch_synth_v1,2025-09-30T15:58:03.542653,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-18.75,0.0,0.0,0.0,116.69072217650198,292.74130300056,0.687959974224338,True,15.0,demo_cycle,8000.0,
synth_00035,batch_synth_v1,2025-09-30T15:58:03.542663,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-17.5,0.0,0.0,0.0,111.60604764602638,293.34082036611767,0.6822980088778423,True,15.0,demo_cycle,8000.0,
synth_00036,batch_synth_v1,2025-09-30T15:58:03.542673,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-16.25,0.0,0.0,0.0,121.11321144964944,294.0107934814343,0.6766230723436425,True,15.0,demo_cycle,8000.0,
synth_00037,batch_synth_v1,2025-09-30T15:58:03.542687,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-15.0,0.0,0.0,0.0,109.42360874112494,294.73489883185397,0.6710083675188465,True,15.0,demo_cycle,8000.0,
synth_00038,batch_synth_v1,2025-09-30T15:58:03.542696,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-13.75,0.0,0.0,0.0,115.67278783058465,295.4954940015397,0.6655263203516755,True,15.0,demo_cycle,8000.0,
synth_00039,batch_synth_v1,2025-09-30T15:58:03.542705,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-12.5,0.0,0.0,0.0,120.34969082933009,296.2740475209211,0.6602476455950262,True,15.0,demo_cycle,8000.0,
synth_00040,batch_synth_v1,2025-09-30T15:58:03.542715,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-11.25,0.0,0.0,0.0,115.64180200523994,297.051590375431,0.6552404346333134,True,15.0,demo_cycle,8000.0,
synth_00041,batch_synth_v1,2025-09-30T15:58:03.542724,5200000000.0,4900000000.0,10100000000.0,0.0,-60.0,-10.0,0.0,0.0,0.0,113.3795574810815,297.8091781747782,0.6505692771490156,True,15.0,demo_cycle,8000.0,
synth_00042,batch_synth_v1,2025-09-30T15:58:03.542737,5200000000.0,4900000000.0,10100000000.0,0.0,-58.75,-60.0,0.0,0.0,0.0,109.9644116171676,297.4417451875756,0.6540980111956988,True,15.0,demo_cycle,8000.0,
